full_filename,short_filename
01_20201125_j3zo.tif,125_j3zo.tif
01_20201125_j9md.tif,125_j9md.tif
01_20201125_jbt7.tif,125_jbt7.tif
01_20201125_jzq9.tif,125_jzq9.tif
01_20201125_mgjg.tif,125_mgjg.tif
01_20201125_mqpx.tif,125_mqpx.tif
01_20201125_nepf.tif,125_nepf.tif
01_20201125_ogkc.tif,125_ogkc.tif
01_20201125_p7ee.tif,125_p7ee.tif
01_20201125_pdtx.tif,125_pdtx.tif
01_20201125_psu2.tif,125_psu2.tif
01_20201125_q0cg.tif,125_q0cg.tif
01_20201125_q1m2.tif,125_q1m2.tif
01_20201125_qe81.tif,125_qe81.tif
01_20201125_qecd.tif,125_qecd.tif
01_20201125_qiwy.tif,125_qiwy.tif
01_20201125_rjsa.tif,125_rjsa.tif
01_20201125_syzv.tif,125_syzv.tif
01_20201125_tqo6.tif,125_tqo6.tif
01_20201125_vbtb.tif,125_vbtb.tif
01_20201125_vr7d.tif,125_vr7d.tif
01_20201125_xii7.tif,125_xii7.tif
01_20201125_xvq3.tif,125_xvq3.tif
01_20201125_yu2f.tif,125_yu2f.tif
11_20210718_094128_39_1qcd.tif,_39_1qcd.tif
11_20210718_094500_23_t0m1.tif,_23_t0m1.tif
11_20210718_094500_23_v2f3.tif,_23_v2f3.tif
11_20210718_094500_23_v72p.tif,_23_v72p.tif
11_20210718_094500_23_v9fi.tif,_23_v9fi.tif
11_20210718_094502_71_45rc.tif,_71_45rc.tif
11_20210718_094502_71_pce0.tif,_71_pce0.tif
11_20210718_094502_71_wi2j.tif,_71_wi2j.tif
11_20210718_094502_71_ykrr.tif,_71_ykrr.tif
12_20200520_163357_36_7oag.tif,_36_7oag.tif
12_20200520_163357_36_b23w.tif,_36_b23w.tif
12_20200520_163357_36_ea6p.tif,_36_ea6p.tif
12_20200520_163357_36_x72b.tif,_36_x72b.tif
14_20190429_152207_1040_8n4d.tif,040_8n4d.tif
14_20190429_152207_1040_i2a6.tif,040_i2a6.tif
14_20190429_152208_1040_8l7z.tif,040_8l7z.tif
14_20190429_152208_1040_qr13.tif,040_qr13.tif
14_20190429_152209_1040_5n1j.tif,040_5n1j.tif
14_20190429_152209_1040_sg2v.tif,040_sg2v.tif
14_20190429_152210_1040_jxbz.tif,040_jxbz.tif
14_20190429_152210_1040_rda6.tif,040_rda6.tif
14_20190429_154356_88_9jup.tif,_88_9jup.tif
14_20190429_154359_37_77xw.tif,_37_77xw.tif
14_20190429_154359_37_gvu0.tif,_37_gvu0.tif
